TrialNum,Foreperiod,CueText
1,1.5,go
2,1.2,go
3,1.8,go
4,1.4,go
5,1.6,go
6,1.5,go
7,1.4,go
8,1.8,go
9,1.6,go
10,1.2,go
11,1.5,go
12,1.4,go
13,1.6,go
14,1.2,go
15,1.8,go
16,1.5,go
17,1.6,go
18,1.4,go
19,1.2,go
20,1.8,go
