TrialNum,Foreperiod,CueText
1,1.4,go
2,1.8,go
3,1.2,go
4,1.6,go
5,1.4,go
6,1.2,go
7,1.8,go
8,1.6,go
9,1.2,go
10,1.8,go
11,1.6,go
12,1.4,go
