TrialNum,Foreperiod,CueText
1,1.6,go
2,1.8,go
3,1.4,go
4,1.4,go
5,1.8,nogo
6,1.6,go
7,1.6,nogo
8,1.2,go
9,1.4,nogo
10,1.2,go
11,1.2,go
12,1.8,nogo
