TrialNum,Foreperiod,CueText
1,1.6,go
2,1.2,go
3,1.8,nogo
4,1.4,go
5,1.2,go
6,1.6,nogo
7,1.4,go
8,1.8,nogo
9,1.6,go
10,1.2,go
11,1.8,nogo
12,1.4,go
