Subject,Condition,nGoTrial,RTHand_ms,n_RTHand_ms,RTForce_ms,n_RTForce_ms,PeakVelTop,n_PeakVelTop,PeakVelTopX,n_PeakVelTopX,PeakFz1_BW,n_PeakFz1_BW,PeakFz2_BW,n_PeakFz2_BW
5,free,15,776,15,640.333333333333,15,27.6491150807367,15,27.0621567335973,15,1.01706906398607,15,1.2353429497957,15
5,simple,15,493.066666666667,15,392.692307692308,13,27.7118034739523,15,27.0668501660216,15,1.02177609495385,13,1.19181502581607,13
5,gonogo,10,590.666666666667,9,454,10,27.3311825889593,10,26.7721472900385,10,1.05541764470584,10,1.14142109078597,10
5,gostop,9,587.428571428571,7,405.75,8,27.0462041961025,9,26.4014287178151,9,1.01290699017377,8,1.0871273403836,8
