TrialNum,Foreperiod,CueText
1,1.2,go
2,1.8,go
3,1.4,go
4,1.6,stop
5,1.8,go
6,1.2,stop
7,1.6,go
8,1.4,go
9,1.2,stop
10,1.6,go
11,1.4,stop
12,1.8,go
