TrialNum,Foreperiod,CueText
1,1.4,go
2,1.8,nogo
3,1.4,go
4,1.4,go
5,1.6,go
6,1.8,nogo
7,1.6,go
8,1.2,go
9,1.2,go
10,1.6,nogo
11,1.8,go
12,1.2,nogo
