TrialNum,Foreperiod,CueText
1,1.6,go
2,1.6,stop
3,1.2,go
4,1.4,stop
5,1.8,go
6,1.2,go
7,1.6,go
8,1.2,go
9,1.4,go
10,1.8,stop
11,1.4,go
12,1.8,stop
